arc_length_s   gamma_x(s)    gamma_y(s)   gamma_z(s)
8.520e-01      2.981e-01     3.390e-02    8.920e-01
8.540e-01      2.975e-01     3.840e-02    8.940e-01
8.560e-01      2.969e-01     4.280e-02    8.960e-01
8.580e-01      2.963e-01     4.730e-02    8.980e-01
8.600e-01      2.955e-01     5.170e-02    9.000e-01
8.620e-01      2.947e-01     5.620e-02    9.020e-01
8.640e-01      2.938e-01     6.060e-02    9.040e-01
8.660e-01      2.929e-01     6.500e-02    9.060e-01
8.680e-01      2.919e-01     6.940e-02    9.080e-01
8.700e-01      2.908e-01     7.370e-02    9.100e-01
8.720e-01      2.897e-01     7.810e-02    9.120e-01
8.740e-01      2.885e-01     8.240e-02    9.140e-01
8.760e-01      2.872e-01     8.680e-02    9.160e-01
8.780e-01      2.858e-01     9.110e-02    9.180e-01
8.800e-01      2.844e-01     9.530e-02    9.200e-01
8.820e-01      2.830e-01     9.960e-02    9.220e-01
8.840e-01      2.815e-01     1.030e-01    9.240e-01
8.860e-01      2.799e-01     1.080e-01    9.260e-01
8.880e-01      2.782e-01     1.120e-01    9.280e-01
8.900e-01      2.765e-01     1.160e-01    9.300e-01
8.920e-01      2.747e-01     1.200e-01    9.320e-01
8.940e-01      2.729e-01     1.240e-01    9.340e-01
8.960e-01      2.710e-01     1.280e-01    9.360e-01
8.980e-01      2.690e-01     1.320e-01    9.380e-01
9.000e-01      2.670e-01     1.360e-01    9.400e-01
9.020e-01      2.649e-01     1.400e-01    9.420e-01
9.040e-01      2.628e-01     1.440e-01    9.440e-01
9.060e-01      2.606e-01     1.480e-01    9.460e-01
9.080e-01      2.583e-01     1.520e-01    9.480e-01
9.100e-01      2.560e-01     1.560e-01    9.500e-01
9.120e-01      2.536e-01     1.600e-01    9.520e-01
9.140e-01      2.512e-01     1.640e-01    9.540e-01
9.160e-01      2.487e-01     1.670e-01    9.560e-01
9.180e-01      2.461e-01     1.710e-01    9.580e-01
9.200e-01      2.435e-01     1.750e-01    9.600e-01
9.220e-01      2.409e-01     1.780e-01    9.620e-01
9.240e-01      2.381e-01     1.820e-01    9.640e-01
9.260e-01      2.354e-01     1.860e-01    9.660e-01
9.280e-01      2.326e-01     1.890e-01    9.680e-01
9.300e-01      2.297e-01     1.930e-01    9.700e-01
9.320e-01      2.268e-01     1.960e-01    9.720e-01
9.340e-01      2.238e-01     1.990e-01    9.740e-01
9.360e-01      2.208e-01     2.030e-01    9.760e-01
9.380e-01      2.177e-01     2.060e-01    9.780e-01
9.400e-01      2.146e-01     2.090e-01    9.800e-01
9.420e-01      2.114e-01     2.120e-01    9.820e-01
9.440e-01      2.082e-01     2.160e-01    9.840e-01
9.460e-01      2.049e-01     2.190e-01    9.860e-01
9.480e-01      2.016e-01     2.220e-01    9.880e-01
9.500e-01      1.982e-01     2.250e-01    9.900e-01
